iter	RMSE
0	15.07744235
1	14.94777484
2	14.81943132
3	14.69242289
4	14.56747809
5	14.44400131
6	14.32117887
7	14.2000191
8	14.07958981
9	13.96034674
10	13.84267784
11	13.72506487
12	13.61062553
13	13.49461752
14	13.38194485
15	13.26986454
16	13.15848484
17	13.04940757
18	12.94074078
19	12.83469647
20	12.73062822
21	12.62512746
22	12.52141617
23	12.41788488
24	12.31593784
25	12.21609651
26	12.11633891
27	12.01785851
28	11.92027017
29	11.82430622
30	11.72753415
31	11.63348741
32	11.53944993
33	11.44837605
34	11.35553278
35	11.26522135
36	11.17486898
37	11.08629007
38	10.99688832
39	10.91114135
40	10.82552505
41	10.73961277
42	10.65586431
43	10.5731559
44	10.48975964
45	10.40857171
46	10.32618637
47	10.24457593
48	10.1663476
49	10.08729577
50	10.00953299
51	9.932144344
52	9.855589975
53	9.779854572
54	9.705238635
55	9.631902071
56	9.560466277
57	9.48812621
58	9.415366428
59	9.346076515
60	9.276845026
61	9.207242764
62	9.138769252
63	9.072689023
64	9.005517311
65	8.940250773
66	8.874943027
67	8.810037389
68	8.746868885
69	8.683193499
70	8.619997975
71	8.557997724
72	8.497908258
73	8.436973094
74	8.377822415
75	8.320394089
76	8.262794472
77	8.204727427
78	8.1481487
79	8.093526749
80	8.035998755
81	7.980286056
82	7.925825879
83	7.871865642
84	7.81876633
85	7.767680474
86	7.714235368
87	7.662628964
88	7.611644785
89	7.561252131
90	7.510608527
91	7.460062106
92	7.410595264
93	7.361058221
94	7.313490483
95	7.265257483
96	7.219129452
97	7.174683801
98	7.127268299
99	7.081976399
100	7.037808953
101	6.99358257
102	6.950156718
103	6.905981879
104	6.863829007
105	6.822076902
106	6.780654581
107	6.73858993
108	6.698499646
109	6.657162481
110	6.617041569
111	6.578593762
112	6.540804232
113	6.50273896
114	6.463044074
115	6.424135554
116	6.386596997
117	6.350884822
118	6.313706737
119	6.277905877
120	6.240467845
121	6.204034492
122	6.168755584
123	6.13389699
124	6.101020029
125	6.067350375
126	6.033550557
127	6.000986243
128	5.967151338
129	5.935707406
130	5.903687576
131	5.871305885
132	5.838912055
133	5.809681591
134	5.77932491
135	5.748716448
136	5.720365833
137	5.691935443
138	5.662408433
139	5.632133379
140	5.605424142
141	5.577536125
142	5.550580301
143	5.52318398
144	5.495196
145	5.468715959
146	5.440984311
147	5.416067354
148	5.390804837
149	5.365763564
150	5.341106658
151	5.317166453
152	5.293885563
153	5.270291118
154	5.248303956
155	5.222906729
156	5.199676974
157	5.177396152
158	5.152816988
159	5.129192644
160	5.107416081
161	5.086065512
162	5.064890057
163	5.042245276
164	5.020925965
165	5.0007242
166	4.977834732
167	4.956570519
168	4.935995997
169	4.917152225
170	4.898199694
171	4.879832841
172	4.860384011
173	4.841344892
174	4.822922045
175	4.803428857
176	4.786036909
177	4.768730679
178	4.749618505
179	4.7325215
180	4.714641049
181	4.697457384
182	4.68036648
183	4.663068061
184	4.646158329
185	4.628078106
186	4.610296059
187	4.595284073
188	4.578890926
189	4.562910819
190	4.547524352
191	4.531142703
192	4.515407156
193	4.500370954
194	4.486470601
195	4.470940422
196	4.454714528
197	4.441744732
198	4.426386109
199	4.412547803
200	4.399262938
201	4.386037811
202	4.370922496
203	4.35581285
204	4.342758644
205	4.328700819
206	4.31477565
207	4.300416249
208	4.287866049
209	4.27471396
210	4.262323536
211	4.250508442
212	4.238215071
213	4.225701244
214	4.214026105
215	4.202668
216	4.190960901
217	4.179187038
218	4.167578098
219	4.156512371
220	4.146439674
221	4.135337
222	4.124419452
223	4.112741454
224	4.100922083
225	4.090392454
226	4.080113163
227	4.068953777
228	4.058268309
229	4.048048076
230	4.038138145
231	4.02878002
232	4.018566585
233	4.00893879
234	4.000314523
235	3.990070465
236	3.980482326
237	3.969583555
238	3.961810523
239	3.951471071
240	3.942616624
241	3.932388368
242	3.922990302
243	3.914542391
244	3.904034407
245	3.894604732
246	3.88487603
247	3.876879231
248	3.868770097
249	3.860106782
250	3.851280345
251	3.843895429
252	3.835916024
253	3.827683019
254	3.820032986
255	3.812396219
256	3.803823668
257	3.795870388
258	3.787340573
259	3.779750435
260	3.771829645
261	3.764211761
262	3.756860649
263	3.748854934
264	3.74204315
265	3.734405142
266	3.727382334
267	3.720393451
268	3.713570893
269	3.707177996
270	3.698916907
271	3.692807726
